date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Lower Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2018-06-14,12772.0,0.0,0.0,8.4859,8.5124,12.509,40.0,85.0,45.0,12925.0201,12506.7801,12715.9001,0.0,44.1819,7.5255,12786.0813,7.5255,12724.2699,19.4749,121.7058,-22.6948,181.0775,0.23,0.8508,12713.0674,0.0,12696.0891,10.5286,37.6795,48.2081,11.4616,12.509,1.0473,12481.3981,11145.1229,0.0,12649.8501,12649.8501,46.2373,566.951,28.2002,0.48,0.0,53.7627,659.2266,0.0984,0.2213,1.0022,53.7627,12614.9149,12715.9001,61.4637,28.1304,0.0,28.1304,0.0,26.1015,12695.3637,12810.4659,13.5,12678.5028,0.0312,63.7709,-20.5165,12733.8158
2018-06-15,12734.5996,0.0,0.0,8.2706,8.3956,17.6403,35.0,80.0,45.0,12924.0363,12506.4439,12715.2401,0.0,15.3424,4.1805,12782.0684,4.1805,12725.2537,18.8698,140.2894,-82.174,143.0047,-0.0922,0.6389,12714.2594,0.0,12696.2827,4.2447,38.7407,42.9855,8.9676,17.6403,8.6727,12483.9301,11151.817,0.0,12649.8501,12649.8501,47.9097,576.0038,-13.2002,0.472,0.0,52.0903,626.2653,0.1387,-0.1035,0.999,52.0903,12631.8608,12715.2401,29.8647,0.0,0.0,0.0,0.0,0.0,12703.3574,12799.6098,37.4004,12687.7628,0.0327,46.2524,-29.5439,12735.5967
2018-06-18,12708.5996,0.0,0.0,7.9502,8.381,33.65,30.0,75.0,45.0,12923.6133,12505.9868,12714.8,0.0,-4.8982,1.8618,12773.6363,1.8618,12723.6676,18.3077,171.9608,-111.8194,127.2731,-0.6013,0.1399,12711.6156,0.0,12696.341,-1.9288,38.2585,36.3297,9.3539,33.65,24.2961,12486.1768,11158.4888,0.0,12649.8501,12649.8501,49.0691,573.2036,-8.8008,0.4596,0.0,50.9309,594.952,0.2645,-0.0692,0.9993,50.9309,12647.6206,12714.8,9.3768,0.0,0.0,0.0,0.0,0.0,12711.1369,12783.3131,26.0,12698.4928,0.0336,45.104,-35.8196,12734.9643
2018-06-19,12639.0,0.0,0.0,7.7601,8.3398,39.8897,25.0,70.0,45.0,12913.6455,12499.4546,12706.55,0.0,-53.6591,-4.1496,12753.5182,4.1496,12715.604,17.788,195.9388,-183.4203,73.9367,-0.8741,-0.2746,12707.0002,0.0,12695.1213,-10.4877,35.6366,25.1489,10.9936,39.8897,28.8961,12487.705,11165.1349,0.0,12649.8501,12649.8501,52.0748,614.1431,-165.0,0.4666,0.0,47.9252,565.2044,0.3137,-1.2887,0.9871,47.9252,12857.0,12706.55,0.0,0.0,0.0,0.0,0.0,0.0,12718.1796,12751.3669,69.5996,12709.4391,0.0334,27.592,-52.6189,12727.7452
2018-06-20,12648.7002,0.0,0.0,7.5349,8.2254,42.532,20.0,65.0,45.0,12907.2777,12494.0224,12700.65,0.0,-41.3236,-3.2557,12737.7706,3.2557,12709.2322,17.3543,230.6383,-173.4405,-2.8258,-0.9952,-0.7732,12704.1473,0.0,12694.4072,-15.0082,31.8845,16.8763,14.3333,42.532,28.1987,12489.3149,11171.7558,0.0,12649.8501,12649.8501,51.6278,583.4359,-118.0,0.4467,0.0,48.3722,546.6444,0.3346,-0.9243,0.9908,48.3722,12854.82,12700.65,0.8104,2.4311,7.2934,2.4311,7.6572,2.5524,12724.1909,12727.3413,9.7002,12720.5291,0.0325,26.4223,-50.2776,12722.2357
2018-06-21,12560.2002,0.0,0.0,7.6893,8.1956,39.8775,15.0,60.0,45.0,12905.8241,12477.156,12691.49,0.0,-99.1242,-10.6234,12708.0173,10.6234,12695.0387,17.049,251.0099,-121.9418,-53.9412,-0.8987,-0.9456,12705.2578,0.0,12691.3015,-22.9934,26.1362,3.1427,18.5416,39.8775,21.3358,12490.0238,11178.3471,0.0,12649.8501,12649.8501,55.3117,642.7641,-183.2002,0.4626,0.0,44.6883,519.3122,0.3139,-1.4376,0.9856,44.6883,12852.6618,12691.49,1.6208,2.4311,0.0,2.4311,0.0,2.5524,12728.6743,12684.5035,88.5,12729.4391,0.0304,20.8426,-71.6389,12708.8595
2018-06-22,12639.5996,0.0,0.0,7.4649,7.8837,32.3351,10.0,55.0,45.0,12904.1335,12473.1366,12688.635,0.0,-36.1824,-3.201,12696.7243,3.201,12689.7588,16.8614,271.766,-71.6814,-82.0548,-0.685,-0.9995,12707.2884,0.0,12690.8721,-21.9643,20.6451,-1.3191,22.8452,32.3351,9.4899,12491.5196,11184.913,0.0,12649.8501,12649.8501,51.6005,610.6259,-57.1006,0.4681,0.0,48.3995,572.746,0.2546,-0.4497,0.9955,48.3995,12846.8126,12688.635,8.376,20.2657,53.5039,20.2657,59.4496,22.3689,12731.6623,12670.0094,79.3994,12736.1891,0.028,35.7521,-52.4742,12703.9176
2018-06-25,12481.5996,0.0,0.0,7.8481,8.2414,16.9986,5.0,50.0,45.0,12913.7785,12448.1614,12680.97,0.0,-136.6763,-15.1291,12658.2996,15.1291,12669.9341,16.7291,293.1275,-48.8283,-94.5599,-0.3725,-0.9196,12707.9494,0.0,12687.2798,-30.4392,13.0353,-17.4039,25.576,16.9986,-8.5774,12491.4204,11191.4455,0.0,12649.8501,12649.8501,57.5646,738.0946,-153.3008,0.5136,0.0,42.4354,544.1087,0.1339,-1.2133,0.9879,42.4354,12841.0803,12680.97,13.5105,17.8346,0.0,17.8346,0.0,19.8165,12732.6444,12617.3005,158.0,12738.2954,0.0244,28.0014,-90.6108,12684.1999
2018-06-26,12510.5,0.0,0.0,8.0788,8.1531,-1.8437,0.0,45.0,45.0,12904.8398,12463.8801,12684.36,0.0,-123.0484,-12.4609,12630.4854,12.4609,12654.7499,16.6097,313.585,-13.848,-111.5189,-0.0247,-0.7244,12705.4035,0.0,12685.5873,-32.4299,4.9278,-27.5021,25.9543,-1.8437,-27.798,12491.6112,11197.9463,0.0,12669.2998,12669.2998,56.2304,701.1899,67.7998,0.4984,0.0,43.7696,545.8036,-0.0145,0.5449,1.0054,43.7696,12830.2959,12684.36,20.5667,23.5997,17.2952,23.5997,22.3694,27.273,12731.4888,12581.9637,28.9004,12735.3445,0.0202,29.3246,-92.3014,12667.9647
2018-06-27,12412.0996,0.0,0.0,8.6336,8.4029,-23.8456,100.0,40.0,-60.0,12923.2614,12424.0785,12673.6699,0.0,-167.9316,-19.1745,12588.7781,19.1745,12631.6403,16.5194,-29.8347,-2.3392,-102.9363,0.2616,-0.4975,12696.8423,1.0,12676.976,-38.3023,-4.6477,-42.95,21.9149,-23.8456,-45.7605,12490.816,11204.4107,0.0,12634.5498,12634.5498,59.5873,764.5308,-213.8008,0.5169,0.0,40.4127,518.5134,-0.1882,-1.6934,0.9831,40.4127,12819.835,12673.6699,15.7331,5.7651,0.0,5.7651,0.0,7.4565,12727.8464,12528.051,98.4004,12725.3445,0.0149,25.5849,-100.0,12642.0351
