date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Lower Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Signal,MACDEXT,MACD,MACD_Signal,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2001-10-03,15.1816,80059166.5159,626411.2085,24.7654,20.2493,-1.271,75.0,30.0,-45.0,28.365,23.081,25.723,-0.1235,15.8132,4.6041,24.9169,9.7263,25.4906,24.8027,-3.8502,2.0498,-0.8784,0.658,-0.0671,26.0539,1.0,25.3493,0.0803,-0.4163,-0.4966,-0.4448,-1.271,-0.8261,24.8644,21.1242,28.2585,25.655,25.475,24.2084,3.7141,-1.26,2.9301,26368100.0,19.9166,3.0556,-4.8783,-4.5918,0.9541,52.302,23.25,25.723,96.1372,90.4739,96.1372,96.587,100.0,100.0,26.0243,24.732,0.81,25.4315,-0.1545,67.5429,-34.1573,25.1948
2001-10-04,15.1526,80197395.0873,657793.3319,23.7612,19.4114,-1.2253,70.0,25.0,-45.0,28.2018,23.1202,25.661,-0.3459,21.6182,3.7726,25.0875,4.6805,25.5515,24.4186,13.7557,2.7899,-0.3722,0.855,0.2378,26.0086,0.0,25.373,0.146,-0.3142,-0.4601,-0.2837,-1.2253,-0.9416,24.877,21.143,31.1222,25.655,25.475,22.184,3.5284,-1.24,3.0434,25919700.0,20.2002,3.2128,-4.7062,-4.5305,0.9547,51.8863,23.2803,25.661,91.9757,94.5667,91.9757,81.3008,98.9,96.6999,25.9068,25.0196,1.33,25.2462,-0.1576,67.2898,-35.2809,25.2335
2001-10-05,15.2396,80291031.822,640625.5859,22.7346,18.5507,-1.1189,65.0,20.0,-45.0,28.0938,23.1472,25.6205,-0.4082,38.9717,6.129,25.2638,3.2297,25.6209,23.9885,26.3478,2.9229,0.612,0.9475,0.4438,25.9597,0.0,25.3902,0.1932,-0.2186,-0.4118,-0.0939,-1.1189,-1.025,24.891,21.1617,34.0423,25.655,25.475,20.8328,3.3519,-0.81,3.0612,26429500.0,19.5292,3.1422,-4.3005,-2.99,0.9701,53.0645,23.3465,25.6205,86.9068,91.6732,86.9068,82.8326,98.9,100.0,25.8024,25.2992,0.98,25.1022,-0.1564,70.4666,-31.9101,25.2925
2001-10-08,15.2164,80248062.125,561691.5512,21.7594,17.7329,-0.9601,60.0,15.0,-45.0,27.9607,23.1863,25.5735,-0.5758,47.4807,5.4045,25.4102,3.2297,25.6798,23.7001,38.7869,1.8923,1.2666,0.9941,0.6264,25.9081,0.0,25.4093,0.2139,-0.1445,-0.3584,0.1135,-0.9601,-1.0737,24.9045,21.1804,33.7528,25.655,25.475,19.9705,3.1843,-0.94,3.0383,26145900.0,18.7209,2.9851,-3.6959,-3.4584,0.9654,52.7022,23.4465,25.5735,80.1592,86.3472,80.1592,76.3441,95.9574,91.1723,25.7131,25.5211,0.66,25.0042,-0.1519,68.6562,-32.809,25.3515
2001-10-09,14.5669,79729054.125,313198.5778,21.5739,17.3208,-0.8006,55.0,10.0,-45.0,27.698,23.22,25.459,-0.78,-7.6706,-12.2521,25.3343,18.0509,25.6265,23.5891,50.1729,1.2048,1.654,0.9959,0.768,25.8371,0.0,25.3915,0.1474,-0.1741,-0.3215,0.2852,-0.8006,-1.0859,24.9067,21.199,29.3573,25.655,25.475,24.7764,4.0851,-2.29,3.2818,25219100.0,17.1994,2.8358,-3.0928,-8.3546,0.9165,43.874,23.5435,25.459,57.1788,74.7482,57.1788,12.3596,63.7241,0.0,25.6355,25.4143,1.34,24.9458,-0.1488,59.2504,-57.9775,25.3083
2001-10-10,14.9148,80076754.125,293701.5816,21.3978,16.907,-0.5902,50.0,5.0,-45.0,27.41,23.33,25.37,0.8667,15.0102,-2.5637,25.3791,18.0509,25.6354,23.413,68.6313,-0.1972,1.967,0.9161,0.9313,25.7416,0.0,25.4044,0.1393,-0.1474,-0.2867,0.4627,-0.5902,-1.0529,24.9148,21.2176,25.4908,25.555,25.475,23.8624,3.8809,-1.78,3.1617,25566800.0,16.5649,2.694,-2.2856,-6.4727,0.9353,48.7181,23.6376,25.37,44.9237,60.7539,44.9237,46.0674,47.9602,52.7083,25.5692,25.4839,0.6,24.9361,-0.1446,60.9351,-44.4944,25.3331
2001-10-11,14.5727,79841293.5987,184106.1355,21.3077,16.8501,-0.4047,45.0,0.0,-45.0,27.1003,23.4227,25.2615,-0.8158,6.7966,-10.5545,25.3118,19.5956,25.5873,23.0609,82.1621,-1.7442,1.5244,0.7969,0.9907,25.6429,0.0,25.3911,0.0918,-0.1719,-0.2637,0.5765,-0.4047,-0.9812,24.917,21.2361,21.9743,25.36,25.375,23.4839,3.8068,-2.17,3.2253,25208900.0,15.7883,2.5593,-1.5726,-7.9487,0.9205,44.7227,23.7289,25.2615,23.7828,41.9617,23.7828,12.9213,20.6478,9.2353,25.5114,25.3894,0.76,24.9708,-0.1415,54.1809,-55.7647,25.3103
2001-10-12,14.219,79557726.0312,32308.6692,21.6122,17.3005,-0.2359,40.0,0.0,-40.0,26.8422,23.4418,25.142,-0.3784,-41.3281,-17.8837,25.1444,27.3985,25.4856,22.5409,96.8693,-1.8541,0.936,0.6175,0.9928,25.5303,1.0,25.3445,0.0207,-0.2378,-0.2585,0.6389,-0.2359,-0.8748,24.913,21.2545,22.0577,25.06,24.965,26.3691,4.2665,-2.39,3.2993,24684300.0,15.0271,2.4314,-0.9206,-8.8815,0.9112,41.0581,23.8174,25.142,22.1593,30.2886,22.1593,7.489,20.6478,0.0,25.4579,25.1551,0.78,25.0341,-0.1413,49.3687,-62.9738,25.2397
2001-10-15,14.0334,79391631.1858,-85575.8059,22.1807,18.1296,-0.1022,35.0,70.0,35.0,26.695,23.378,25.0365,-0.2062,-69.3072,-21.4384,24.9437,32.9809,25.3632,21.8669,130.5024,-2.4006,0.4951,0.0784,0.7604,25.3676,1.0,25.2908,-0.043,-0.3122,-0.2693,0.6432,-0.1022,-0.7454,24.9059,21.2728,21.6174,25.045,24.965,28.0472,4.5832,-2.11,3.3762,23917100.0,14.1351,2.3098,-0.4007,-8.0198,0.9198,39.2808,26.68,25.0365,12.8932,19.6117,12.8932,18.2692,3.0784,0.0,25.4046,24.8826,0.97,25.1105,-0.1441,45.7967,-72.3032,25.15
2001-10-16,14.4683,79626667.5494,-51237.3567,22.4387,18.9812,0.0002,30.0,65.0,35.0,26.6167,23.3723,24.9945,0.8523,-20.2081,-9.7205,24.9087,27.3414,25.3238,21.1452,180.4205,-2.1715,-0.5402,-0.7123,-0.0073,25.2039,1.0,25.2856,-0.0303,-0.3072,-0.2769,0.6044,0.0002,-0.6042,24.9063,21.2909,35.5659,25.045,24.965,26.5426,4.354,-0.84,3.2873,24250700.0,15.1447,2.4843,0.0008,-3.2571,0.9674,45.1397,26.6514,24.9945,28.0019,21.0181,28.0019,58.2474,20.6942,62.0825,25.3517,24.8573,0.88,25.1925,-0.1465,49.0003,-50.4373,25.1417
