date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2004-03-15,1104.49,57701267464.3064,-1212204412.1708,23.066,28.1557,-4.6194,100.0,-30.0,1111.0914,-0.9343,-209.4358,-20.2236,1130.7459,25.7554,1135.3697,15.1536,304.2683,-2.8255,-0.8264,1141.2712,1.0,1134.8502,0.7485,-4.6194,1059.7096,38.5043,1130.74,1133.295,26.7021,61.9909,-41.3201,1.051,-20078760000.0,15.7647,36.5988,-0.4043,-3.6062,0.9639,39.8882,1160.5676,1141.246,10.448,2.5705,9.5448,1152.2342,1120.1412,17.21,1145.2886,0.0555,33.5842,-98.1126,1136.0703
2004-03-16,1110.7,58378250828.4604,-992446467.2131,23.23,28.0576,-6.2396,100.0,-35.0,1106.9173,0.5569,-167.4638,-15.1701,1126.711,26.3452,1133.0202,14.8096,-38.426,-11.6052,-0.6215,1139.12,1.0,1133.0881,-0.6474,-6.2396,1060.2195,33.6286,1130.675,1132.92,25.7409,59.6414,-46.29,1.043,-18578060000.0,15.005999999999998,34.7688,-0.5467,-4.0009,0.96,42.4149,1158.8514,1138.9315,16.8621,20.829,61.9637,1151.1232,1115.5914,11.15,1143.9015,0.0447,34.5941,-86.6546,1133.1611
2004-03-17,1123.75,59470594630.9581,-464759146.4617,22.6403,27.4904,-8.3069,95.0,-35.0,1105.4359,0.8665,-91.0713,-5.3724,1125.6302,11.4357,1132.1373,14.6537,-21.6236,-20.2247,-0.3685,1137.3344,1.0,1132.7776,-1.7369,-8.3069,1060.8548,38.5289,1130.675,1132.92,24.0925,56.6593,-28.0699,1.0464,-17087960000.0,19.1477,45.0304,-0.7282,-2.437,0.9756,47.3138,1156.6018,1137.528,37.9783,90.5355,100.0,1149.7676,1115.3906,15.0601,1142.3382,0.0346,42.0123,-65.127,1131.7153
2004-03-18,1122.3199,60128916273.9295,2829748.1058,22.08,26.6774,-9.6455,90.0,-35.0,1103.8585,-0.1167,-77.7463,-6.2919,1124.469,11.4357,1131.2024,14.6698,-5.3677,-30.2647,-0.0935,1135.6946,1.0,1132.4724,-2.596,-9.6455,1061.4695,43.4447,1130.675,1132.92,22.8401,53.8263,-24.7401,1.0499,-18457160000.0,18.1524,42.7789,-0.8462,-2.1568,0.9784,46.854,1154.4421,1136.2910000000004,65.5015,85.1401,93.8082,1148.225,1114.9999,12.25,1140.4861,0.0254,45.0298,-67.486,1130.2669
2004-03-19,1109.78,58691668837.0779,-263447138.3972,21.7132,25.9218,-11.2376,85.0,-35.0,1100.3923,-0.9624,-93.7728,-14.0054,1121.2241,14.7429,1129.1621,14.815,9.2335,-23.0873,0.1605,1133.8503,1.0,1131.5410000000004,-3.4598,-11.2376,1061.9526,43.5356,1130.675,1132.92,23.0866,54.6951,-34.33,1.0674,-19914560000.0,17.154,40.6399,-0.9874,-3.0006,0.97,42.9973,1152.3688,1134.5745,68.8826,30.9721,41.8696,1146.4997,1111.5669,13.03,1138.135,0.0159,43.8213,-88.1721,1127.742
2004-03-22,1095.4,58080323424.0614,-542947847.163,22.1405,25.5089,-14.0123,100.0,-55.0,1094.2643,-0.7105,-138.8771,-21.7777,1115.8555,30.2591,1125.9467,15.0466,19.0936,-15.0023,0.3271,1131.0979,1.0,1129.5441,-4.5029,-14.0123,1062.287,43.5105,1126.13,1126.385,29.3959,72.1102,-45.59,1.1197,-21366860000.0,15.7386,38.6079,-1.2336,-3.9956,0.96,39.1112,1150.3784,1132.295,44.097,16.1789,0.0,1144.5547,1105.1699,20.24,1135.1971,0.0055,46.2076,-92.0478,1124.0111
2004-03-23,1093.95,57319710857.2805,-849943240.4372,22.5464,25.1375,-17.2602,95.0,-55.0,1088.6763,-0.1457,-128.539,-22.521,1111.0122,30.2591,1122.8994,15.196,26.0796,-10.9179,0.4396,1127.7965,1.0,1127.5977,-5.6165,-17.2602,1062.6037,43.7223,1125.405,1126.385,28.1922,68.5047,-45.14,1.1106,-22825060000.0,15.0942,36.6775,-1.5222,-3.9628,0.9604,38.7395,1147.3365,1130.038,19.7754,12.1754,0.0,1142.377,1099.7193,9.9501,1131.7788,-0.0055,39.5105,-94.0156,1120.3592
2004-03-24,1091.33,56933641514.5831,-1021104943.0497,23.0794,24.9185,-19.3906,100.0,-65.0,1083.3087,-0.2348,-123.7371,-23.8964,1106.4174,33.2069,1119.8928,15.3127,29.7865,2.7526,0.4968,1124.0595,1.0,1125.0836,-6.7449,-19.3906,1062.8909,38.8864,1124.095,1125.195,28.7144,69.4894,-52.3401,1.1087,-24352860000.0,14.3981,34.8436,-1.7139,-4.5765,0.9542,38.0518,1144.4467,1127.421,13.0768,10.8762,0.0,1139.9663,1094.7631,11.1599,1128.0510000000004,-0.0169,42.4929,-94.5183,1116.6727
2004-03-25,1109.1899,58221466167.1969,-588535528.0095,22.8633,24.4793,-20.3669,95.0,-65.0,1081.6074,0.9375,-76.623,-9.8976,1105.7592,18.757,1118.8735,15.6464,29.373,6.1404,0.4905,1121.4519,1.0,1124.5261,-7.5231,-20.3669,1063.3539,38.963,1124.095,1125.195,26.5172,66.0149,-35.7201,1.1222,-22881160000.0,18.1407,45.1615,-1.8028,-3.1199,0.9688,45.0512,1141.0095,1125.635,28.3343,61.9515,100.0,1137.4086,1095.5416,19.05,1124.5249,-0.0269,47.6452,-71.0399,1114.9365
2004-03-26,1108.0601,57459462458.9207,-600527808.3074,22.3952,24.0862,-20.186,90.0,-65.0,1080.0638,-0.1236,-50.7797,-10.5705,1105.0466,13.502,1117.8436,16.345,33.1563,-1.1061,0.5469,1118.9123,1.0,1123.9286,-8.042,-20.186,1063.8010000000004,38.4039,1124.095,1125.195,25.5305,62.7142,-36.8799,1.1084,-24200260000.0,19.4564,47.7935,-1.7892,-3.2211,0.9678,44.7147,1137.7785,1123.7910000000004,49.0595,74.3509,95.1933,1134.7717,1096.0891,9.14,1121.2317,-0.0356,42.9474,-72.5253,1113.2627
